rank,name,types,total_power,hit_points,attack,defense,special_attack,special_defense,speed,icon_url,details_url,scrape_ts
0514,Simisear,Fire,498,75,98,63,98,63,101,https://img.pokemondb.net/sprites/scarlet-violet/icon/simisear.png,https://pokemondb.net/pokedex/simisear,2024-02-24 15:05:21
0515,Panpour,Water,316,50,53,48,53,48,64,https://img.pokemondb.net/sprites/scarlet-violet/icon/panpour.png,https://pokemondb.net/pokedex/panpour,2024-02-24 15:05:21
0516,Simipour,Water,498,75,98,63,98,63,101,https://img.pokemondb.net/sprites/scarlet-violet/icon/simipour.png,https://pokemondb.net/pokedex/simipour,2024-02-24 15:05:21
0517,Munna,Psychic,292,76,25,45,67,55,24,https://img.pokemondb.net/sprites/scarlet-violet/icon/munna.png,https://pokemondb.net/pokedex/munna,2024-02-24 15:05:21
0518,Musharna,Psychic,487,116,55,85,107,95,29,https://img.pokemondb.net/sprites/scarlet-violet/icon/musharna.png,https://pokemondb.net/pokedex/musharna,2024-02-24 15:05:21
0519,Pidove,"Normal, Flying",264,50,55,50,36,30,43,https://img.pokemondb.net/sprites/scarlet-violet/icon/pidove.png,https://pokemondb.net/pokedex/pidove,2024-02-24 15:05:21
0520,Tranquill,"Normal, Flying",358,62,77,62,50,42,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/tranquill.png,https://pokemondb.net/pokedex/tranquill,2024-02-24 15:05:21
0521,Unfezant,"Normal, Flying",488,80,115,80,65,55,93,https://img.pokemondb.net/sprites/scarlet-violet/icon/unfezant.png,https://pokemondb.net/pokedex/unfezant,2024-02-24 15:05:21
0522,Blitzle,Electric,295,45,60,32,50,32,76,https://img.pokemondb.net/sprites/scarlet-violet/icon/blitzle.png,https://pokemondb.net/pokedex/blitzle,2024-02-24 15:05:21
0523,Zebstrika,Electric,497,75,100,63,80,63,116,https://img.pokemondb.net/sprites/scarlet-violet/icon/zebstrika.png,https://pokemondb.net/pokedex/zebstrika,2024-02-24 15:05:21
0524,Roggenrola,Rock,280,55,75,85,25,25,15,https://img.pokemondb.net/sprites/scarlet-violet/icon/roggenrola.png,https://pokemondb.net/pokedex/roggenrola,2024-02-24 15:05:21
0525,Boldore,Rock,390,70,105,105,50,40,20,https://img.pokemondb.net/sprites/scarlet-violet/icon/boldore.png,https://pokemondb.net/pokedex/boldore,2024-02-24 15:05:21
0526,Gigalith,Rock,515,85,135,130,60,80,25,https://img.pokemondb.net/sprites/scarlet-violet/icon/gigalith.png,https://pokemondb.net/pokedex/gigalith,2024-02-24 15:05:21
0527,Woobat,"Psychic, Flying",323,65,45,43,55,43,72,https://img.pokemondb.net/sprites/scarlet-violet/icon/woobat.png,https://pokemondb.net/pokedex/woobat,2024-02-24 15:05:21
0528,Swoobat,"Psychic, Flying",425,67,57,55,77,55,114,https://img.pokemondb.net/sprites/scarlet-violet/icon/swoobat.png,https://pokemondb.net/pokedex/swoobat,2024-02-24 15:05:21
0529,Drilbur,Ground,328,60,85,40,30,45,68,https://img.pokemondb.net/sprites/scarlet-violet/icon/drilbur.png,https://pokemondb.net/pokedex/drilbur,2024-02-24 15:05:21
0530,Excadrill,"Ground, Steel",508,110,135,60,50,65,88,https://img.pokemondb.net/sprites/scarlet-violet/icon/excadrill.png,https://pokemondb.net/pokedex/excadrill,2024-02-24 15:05:21
0531,Audino,Normal,445,103,60,86,60,86,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/audino.png,https://pokemondb.net/pokedex/audino,2024-02-24 15:05:21
0531,Mega Audino,"Normal, Fairy",545,103,60,126,80,126,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/audino-mega.png,https://pokemondb.net/pokedex/audino,2024-02-24 15:05:21
0532,Timburr,Fighting,305,75,80,55,25,35,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/timburr.png,https://pokemondb.net/pokedex/timburr,2024-02-24 15:05:21
0533,Gurdurr,Fighting,405,85,105,85,40,50,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/gurdurr.png,https://pokemondb.net/pokedex/gurdurr,2024-02-24 15:05:21
0534,Conkeldurr,Fighting,505,105,140,95,55,65,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/conkeldurr.png,https://pokemondb.net/pokedex/conkeldurr,2024-02-24 15:05:21
0535,Tympole,Water,294,50,50,40,50,40,64,https://img.pokemondb.net/sprites/scarlet-violet/icon/tympole.png,https://pokemondb.net/pokedex/tympole,2024-02-24 15:05:21
0536,Palpitoad,"Water, Ground",384,75,65,55,65,55,69,https://img.pokemondb.net/sprites/scarlet-violet/icon/palpitoad.png,https://pokemondb.net/pokedex/palpitoad,2024-02-24 15:05:21
0537,Seismitoad,"Water, Ground",509,105,95,75,85,75,74,https://img.pokemondb.net/sprites/scarlet-violet/icon/seismitoad.png,https://pokemondb.net/pokedex/seismitoad,2024-02-24 15:05:21
0538,Throh,Fighting,465,120,100,85,30,85,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/throh.png,https://pokemondb.net/pokedex/throh,2024-02-24 15:05:21
0539,Sawk,Fighting,465,75,125,75,30,75,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/sawk.png,https://pokemondb.net/pokedex/sawk,2024-02-24 15:05:21
0540,Sewaddle,"Bug, Grass",310,45,53,70,40,60,42,https://img.pokemondb.net/sprites/scarlet-violet/icon/sewaddle.png,https://pokemondb.net/pokedex/sewaddle,2024-02-24 15:05:21
0541,Swadloon,"Bug, Grass",380,55,63,90,50,80,42,https://img.pokemondb.net/sprites/scarlet-violet/icon/swadloon.png,https://pokemondb.net/pokedex/swadloon,2024-02-24 15:05:21
0542,Leavanny,"Bug, Grass",500,75,103,80,70,80,92,https://img.pokemondb.net/sprites/scarlet-violet/icon/leavanny.png,https://pokemondb.net/pokedex/leavanny,2024-02-24 15:05:21
0543,Venipede,"Bug, Poison",260,30,45,59,30,39,57,https://img.pokemondb.net/sprites/scarlet-violet/icon/venipede.png,https://pokemondb.net/pokedex/venipede,2024-02-24 15:05:21
0544,Whirlipede,"Bug, Poison",360,40,55,99,40,79,47,https://img.pokemondb.net/sprites/scarlet-violet/icon/whirlipede.png,https://pokemondb.net/pokedex/whirlipede,2024-02-24 15:05:21
0545,Scolipede,"Bug, Poison",485,60,100,89,55,69,112,https://img.pokemondb.net/sprites/scarlet-violet/icon/scolipede.png,https://pokemondb.net/pokedex/scolipede,2024-02-24 15:05:21
0546,Cottonee,"Grass, Fairy",280,40,27,60,37,50,66,https://img.pokemondb.net/sprites/scarlet-violet/icon/cottonee.png,https://pokemondb.net/pokedex/cottonee,2024-02-24 15:05:21
0547,Whimsicott,"Grass, Fairy",480,60,67,85,77,75,116,https://img.pokemondb.net/sprites/scarlet-violet/icon/whimsicott.png,https://pokemondb.net/pokedex/whimsicott,2024-02-24 15:05:21
0548,Petilil,Grass,280,45,35,50,70,50,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/petilil.png,https://pokemondb.net/pokedex/petilil,2024-02-24 15:05:21
0549,Lilligant,Grass,480,70,60,75,110,75,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/lilligant.png,https://pokemondb.net/pokedex/lilligant,2024-02-24 15:05:21
0549,Hisuian Lilligant,"Grass, Fighting",480,70,105,75,50,75,105,https://img.pokemondb.net/sprites/scarlet-violet/icon/lilligant-hisuian.png,https://pokemondb.net/pokedex/lilligant,2024-02-24 15:05:21
0550,Red-Striped Form,Water,460,70,92,65,80,55,98,https://img.pokemondb.net/sprites/scarlet-violet/icon/basculin-red-striped.png,https://pokemondb.net/pokedex/basculin,2024-02-24 15:05:21
0550,Blue-Striped Form,Water,460,70,92,65,80,55,98,https://img.pokemondb.net/sprites/scarlet-violet/icon/basculin-blue-striped.png,https://pokemondb.net/pokedex/basculin,2024-02-24 15:05:21
0550,White-Striped Form,Water,460,70,92,65,80,55,98,https://img.pokemondb.net/sprites/scarlet-violet/icon/basculin-white-striped.png,https://pokemondb.net/pokedex/basculin,2024-02-24 15:05:21
0551,Sandile,"Ground, Dark",292,50,72,35,35,35,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/sandile.png,https://pokemondb.net/pokedex/sandile,2024-02-24 15:05:21
0552,Krokorok,"Ground, Dark",351,60,82,45,45,45,74,https://img.pokemondb.net/sprites/scarlet-violet/icon/krokorok.png,https://pokemondb.net/pokedex/krokorok,2024-02-24 15:05:21
0553,Krookodile,"Ground, Dark",519,95,117,80,65,70,92,https://img.pokemondb.net/sprites/scarlet-violet/icon/krookodile.png,https://pokemondb.net/pokedex/krookodile,2024-02-24 15:05:21
0554,Darumaka,Fire,315,70,90,45,15,45,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/darumaka.png,https://pokemondb.net/pokedex/darumaka,2024-02-24 15:05:21
0554,Galarian Darumaka,Ice,315,70,90,45,15,45,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/darumaka-galarian.png,https://pokemondb.net/pokedex/darumaka,2024-02-24 15:05:21
0555,Standard Mode,Fire,480,105,140,55,30,55,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/darmanitan-standard.png,https://pokemondb.net/pokedex/darmanitan,2024-02-24 15:05:21
0555,Zen Mode,"Fire, Psychic",540,105,30,105,140,105,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/darmanitan-zen.png,https://pokemondb.net/pokedex/darmanitan,2024-02-24 15:05:21
0555,Galarian Standard Mode,Ice,480,105,140,55,30,55,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/darmanitan-galarian-standard.png,https://pokemondb.net/pokedex/darmanitan,2024-02-24 15:05:21
0555,Galarian Zen Mode,"Ice, Fire",540,105,160,55,30,55,135,https://img.pokemondb.net/sprites/scarlet-violet/icon/darmanitan-galarian-zen.png,https://pokemondb.net/pokedex/darmanitan,2024-02-24 15:05:21
0556,Maractus,Grass,461,75,86,67,106,67,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/maractus.png,https://pokemondb.net/pokedex/maractus,2024-02-24 15:05:21
0557,Dwebble,"Bug, Rock",325,50,65,85,35,35,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/dwebble.png,https://pokemondb.net/pokedex/dwebble,2024-02-24 15:05:21
0558,Crustle,"Bug, Rock",485,70,105,125,65,75,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/crustle.png,https://pokemondb.net/pokedex/crustle,2024-02-24 15:05:21
0559,Scraggy,"Dark, Fighting",348,50,75,70,35,70,48,https://img.pokemondb.net/sprites/scarlet-violet/icon/scraggy.png,https://pokemondb.net/pokedex/scraggy,2024-02-24 15:05:21
0560,Scrafty,"Dark, Fighting",488,65,90,115,45,115,58,https://img.pokemondb.net/sprites/scarlet-violet/icon/scrafty.png,https://pokemondb.net/pokedex/scrafty,2024-02-24 15:05:21
0561,Sigilyph,"Psychic, Flying",490,72,58,80,103,80,97,https://img.pokemondb.net/sprites/scarlet-violet/icon/sigilyph.png,https://pokemondb.net/pokedex/sigilyph,2024-02-24 15:05:21
0562,Yamask,Ghost,303,38,30,85,55,65,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/yamask.png,https://pokemondb.net/pokedex/yamask,2024-02-24 15:05:21
0562,Galarian Yamask,"Ground, Ghost",303,38,55,85,30,65,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/yamask-galarian.png,https://pokemondb.net/pokedex/yamask,2024-02-24 15:05:21
0563,Cofagrigus,Ghost,483,58,50,145,95,105,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/cofagrigus.png,https://pokemondb.net/pokedex/cofagrigus,2024-02-24 15:05:21
0564,Tirtouga,"Water, Rock",355,54,78,103,53,45,22,https://img.pokemondb.net/sprites/scarlet-violet/icon/tirtouga.png,https://pokemondb.net/pokedex/tirtouga,2024-02-24 15:05:21
0565,Carracosta,"Water, Rock",495,74,108,133,83,65,32,https://img.pokemondb.net/sprites/scarlet-violet/icon/carracosta.png,https://pokemondb.net/pokedex/carracosta,2024-02-24 15:05:21
0566,Archen,"Rock, Flying",401,55,112,45,74,45,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/archen.png,https://pokemondb.net/pokedex/archen,2024-02-24 15:05:21
0567,Archeops,"Rock, Flying",567,75,140,65,112,65,110,https://img.pokemondb.net/sprites/scarlet-violet/icon/archeops.png,https://pokemondb.net/pokedex/archeops,2024-02-24 15:05:21
0568,Trubbish,Poison,329,50,50,62,40,62,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/trubbish.png,https://pokemondb.net/pokedex/trubbish,2024-02-24 15:05:21
0569,Garbodor,Poison,474,80,95,82,60,82,75,https://img.pokemondb.net/sprites/scarlet-violet/icon/garbodor.png,https://pokemondb.net/pokedex/garbodor,2024-02-24 15:05:21
0570,Zorua,Dark,330,40,65,40,80,40,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/zorua.png,https://pokemondb.net/pokedex/zorua,2024-02-24 15:05:21
0570,Hisuian Zorua,"Normal, Ghost",330,35,60,40,85,40,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/zorua-hisuian.png,https://pokemondb.net/pokedex/zorua,2024-02-24 15:05:21
0571,Zoroark,Dark,510,60,105,60,120,60,105,https://img.pokemondb.net/sprites/scarlet-violet/icon/zoroark.png,https://pokemondb.net/pokedex/zoroark,2024-02-24 15:05:21
0571,Hisuian Zoroark,"Normal, Ghost",510,55,100,60,125,60,110,https://img.pokemondb.net/sprites/scarlet-violet/icon/zoroark-hisuian.png,https://pokemondb.net/pokedex/zoroark,2024-02-24 15:05:21
0572,Minccino,Normal,300,55,50,40,40,40,75,https://img.pokemondb.net/sprites/scarlet-violet/icon/minccino.png,https://pokemondb.net/pokedex/minccino,2024-02-24 15:05:21
0573,Cinccino,Normal,470,75,95,60,65,60,115,https://img.pokemondb.net/sprites/scarlet-violet/icon/cinccino.png,https://pokemondb.net/pokedex/cinccino,2024-02-24 15:05:21
0574,Gothita,Psychic,290,45,30,50,55,65,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/gothita.png,https://pokemondb.net/pokedex/gothita,2024-02-24 15:05:21
0575,Gothorita,Psychic,390,60,45,70,75,85,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/gothorita.png,https://pokemondb.net/pokedex/gothorita,2024-02-24 15:05:21
0576,Gothitelle,Psychic,490,70,55,95,95,110,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/gothitelle.png,https://pokemondb.net/pokedex/gothitelle,2024-02-24 15:05:21
0577,Solosis,Psychic,290,45,30,40,105,50,20,https://img.pokemondb.net/sprites/scarlet-violet/icon/solosis.png,https://pokemondb.net/pokedex/solosis,2024-02-24 15:05:21
0578,Duosion,Psychic,370,65,40,50,125,60,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/duosion.png,https://pokemondb.net/pokedex/duosion,2024-02-24 15:05:21
0579,Reuniclus,Psychic,490,110,65,75,125,85,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/reuniclus.png,https://pokemondb.net/pokedex/reuniclus,2024-02-24 15:05:22
0580,Ducklett,"Water, Flying",305,62,44,50,44,50,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/ducklett.png,https://pokemondb.net/pokedex/ducklett,2024-02-24 15:05:22
0581,Swanna,"Water, Flying",473,75,87,63,87,63,98,https://img.pokemondb.net/sprites/scarlet-violet/icon/swanna.png,https://pokemondb.net/pokedex/swanna,2024-02-24 15:05:22
0582,Vanillite,Ice,305,36,50,50,65,60,44,https://img.pokemondb.net/sprites/scarlet-violet/icon/vanillite.png,https://pokemondb.net/pokedex/vanillite,2024-02-24 15:05:22
0583,Vanillish,Ice,395,51,65,65,80,75,59,https://img.pokemondb.net/sprites/scarlet-violet/icon/vanillish.png,https://pokemondb.net/pokedex/vanillish,2024-02-24 15:05:22
0584,Vanilluxe,Ice,535,71,95,85,110,95,79,https://img.pokemondb.net/sprites/scarlet-violet/icon/vanilluxe.png,https://pokemondb.net/pokedex/vanilluxe,2024-02-24 15:05:22
0585,Deerling,"Normal, Grass",335,60,60,50,40,50,75,https://img.pokemondb.net/sprites/scarlet-violet/icon/deerling.png,https://pokemondb.net/pokedex/deerling,2024-02-24 15:05:22
0586,Sawsbuck,"Normal, Grass",475,80,100,70,60,70,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/sawsbuck.png,https://pokemondb.net/pokedex/sawsbuck,2024-02-24 15:05:22
0587,Emolga,"Electric, Flying",428,55,75,60,75,60,103,https://img.pokemondb.net/sprites/scarlet-violet/icon/emolga.png,https://pokemondb.net/pokedex/emolga,2024-02-24 15:05:22
0588,Karrablast,Bug,315,50,75,45,40,45,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/karrablast.png,https://pokemondb.net/pokedex/karrablast,2024-02-24 15:05:22
0589,Escavalier,"Bug, Steel",495,70,135,105,60,105,20,https://img.pokemondb.net/sprites/scarlet-violet/icon/escavalier.png,https://pokemondb.net/pokedex/escavalier,2024-02-24 15:05:22
0590,Foongus,"Grass, Poison",294,69,55,45,55,55,15,https://img.pokemondb.net/sprites/scarlet-violet/icon/foongus.png,https://pokemondb.net/pokedex/foongus,2024-02-24 15:05:22
0591,Amoonguss,"Grass, Poison",464,114,85,70,85,80,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/amoonguss.png,https://pokemondb.net/pokedex/amoonguss,2024-02-24 15:05:22
0592,Frillish,"Water, Ghost",335,55,40,50,65,85,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/frillish.png,https://pokemondb.net/pokedex/frillish,2024-02-24 15:05:22
0593,Jellicent,"Water, Ghost",480,100,60,70,85,105,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/jellicent.png,https://pokemondb.net/pokedex/jellicent,2024-02-24 15:05:22
0594,Alomomola,Water,470,165,75,80,40,45,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/alomomola.png,https://pokemondb.net/pokedex/alomomola,2024-02-24 15:05:22
0595,Joltik,"Bug, Electric",319,50,47,50,57,50,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/joltik.png,https://pokemondb.net/pokedex/joltik,2024-02-24 15:05:22
0596,Galvantula,"Bug, Electric",472,70,77,60,97,60,108,https://img.pokemondb.net/sprites/scarlet-violet/icon/galvantula.png,https://pokemondb.net/pokedex/galvantula,2024-02-24 15:05:22
0597,Ferroseed,"Grass, Steel",305,44,50,91,24,86,10,https://img.pokemondb.net/sprites/scarlet-violet/icon/ferroseed.png,https://pokemondb.net/pokedex/ferroseed,2024-02-24 15:05:22
0598,Ferrothorn,"Grass, Steel",489,74,94,131,54,116,20,https://img.pokemondb.net/sprites/scarlet-violet/icon/ferrothorn.png,https://pokemondb.net/pokedex/ferrothorn,2024-02-24 15:05:22
0599,Klink,Steel,300,40,55,70,45,60,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/klink.png,https://pokemondb.net/pokedex/klink,2024-02-24 15:05:22
0600,Klang,Steel,440,60,80,95,70,85,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/klang.png,https://pokemondb.net/pokedex/klang,2024-02-24 15:05:22
0601,Klinklang,Steel,520,60,100,115,70,85,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/klinklang.png,https://pokemondb.net/pokedex/klinklang,2024-02-24 15:05:22
0602,Tynamo,Electric,275,35,55,40,45,40,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/tynamo.png,https://pokemondb.net/pokedex/tynamo,2024-02-24 15:05:22
0603,Eelektrik,Electric,405,65,85,70,75,70,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/eelektrik.png,https://pokemondb.net/pokedex/eelektrik,2024-02-24 15:05:22
0604,Eelektross,Electric,515,85,115,80,105,80,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/eelektross.png,https://pokemondb.net/pokedex/eelektross,2024-02-24 15:05:22
0605,Elgyem,Psychic,335,55,55,55,85,55,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/elgyem.png,https://pokemondb.net/pokedex/elgyem,2024-02-24 15:05:22
0606,Beheeyem,Psychic,485,75,75,75,125,95,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/beheeyem.png,https://pokemondb.net/pokedex/beheeyem,2024-02-24 15:05:22
0607,Litwick,"Ghost, Fire",275,50,30,55,65,55,20,https://img.pokemondb.net/sprites/scarlet-violet/icon/litwick.png,https://pokemondb.net/pokedex/litwick,2024-02-24 15:05:22
0608,Lampent,"Ghost, Fire",370,60,40,60,95,60,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/lampent.png,https://pokemondb.net/pokedex/lampent,2024-02-24 15:05:22
0609,Chandelure,"Ghost, Fire",520,60,55,90,145,90,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/chandelure.png,https://pokemondb.net/pokedex/chandelure,2024-02-24 15:05:22
0610,Axew,Dragon,320,46,87,60,30,40,57,https://img.pokemondb.net/sprites/scarlet-violet/icon/axew.png,https://pokemondb.net/pokedex/axew,2024-02-24 15:05:22
0611,Fraxure,Dragon,410,66,117,70,40,50,67,https://img.pokemondb.net/sprites/scarlet-violet/icon/fraxure.png,https://pokemondb.net/pokedex/fraxure,2024-02-24 15:05:22
0612,Haxorus,Dragon,540,76,147,90,60,70,97,https://img.pokemondb.net/sprites/scarlet-violet/icon/haxorus.png,https://pokemondb.net/pokedex/haxorus,2024-02-24 15:05:22
0613,Cubchoo,Ice,305,55,70,40,60,40,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/cubchoo.png,https://pokemondb.net/pokedex/cubchoo,2024-02-24 15:05:22
0614,Beartic,Ice,505,95,130,80,70,80,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/beartic.png,https://pokemondb.net/pokedex/beartic,2024-02-24 15:05:22
0615,Cryogonal,Ice,515,80,50,50,95,135,105,https://img.pokemondb.net/sprites/scarlet-violet/icon/cryogonal.png,https://pokemondb.net/pokedex/cryogonal,2024-02-24 15:05:22
0616,Shelmet,Bug,305,50,40,85,40,65,25,https://img.pokemondb.net/sprites/scarlet-violet/icon/shelmet.png,https://pokemondb.net/pokedex/shelmet,2024-02-24 15:05:22
0617,Accelgor,Bug,495,80,70,40,100,60,145,https://img.pokemondb.net/sprites/scarlet-violet/icon/accelgor.png,https://pokemondb.net/pokedex/accelgor,2024-02-24 15:05:22
0618,Stunfisk,"Ground, Electric",471,109,66,84,81,99,32,https://img.pokemondb.net/sprites/scarlet-violet/icon/stunfisk.png,https://pokemondb.net/pokedex/stunfisk,2024-02-24 15:05:22
0618,Galarian Stunfisk,"Ground, Steel",471,109,81,99,66,84,32,https://img.pokemondb.net/sprites/scarlet-violet/icon/stunfisk-galarian.png,https://pokemondb.net/pokedex/stunfisk,2024-02-24 15:05:22
0619,Mienfoo,Fighting,350,45,85,50,55,50,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/mienfoo.png,https://pokemondb.net/pokedex/mienfoo,2024-02-24 15:05:22
0620,Mienshao,Fighting,510,65,125,60,95,60,105,https://img.pokemondb.net/sprites/scarlet-violet/icon/mienshao.png,https://pokemondb.net/pokedex/mienshao,2024-02-24 15:05:22
0621,Druddigon,Dragon,485,77,120,90,60,90,48,https://img.pokemondb.net/sprites/scarlet-violet/icon/druddigon.png,https://pokemondb.net/pokedex/druddigon,2024-02-24 15:05:22
0622,Golett,"Ground, Ghost",303,59,74,50,35,50,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/golett.png,https://pokemondb.net/pokedex/golett,2024-02-24 15:05:22
0623,Golurk,"Ground, Ghost",483,89,124,80,55,80,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/golurk.png,https://pokemondb.net/pokedex/golurk,2024-02-24 15:05:22
0624,Pawniard,"Dark, Steel",340,45,85,70,40,40,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/pawniard.png,https://pokemondb.net/pokedex/pawniard,2024-02-24 15:05:22
0625,Bisharp,"Dark, Steel",490,65,125,100,60,70,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/bisharp.png,https://pokemondb.net/pokedex/bisharp,2024-02-24 15:05:22
0626,Bouffalant,Normal,490,95,110,95,40,95,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/bouffalant.png,https://pokemondb.net/pokedex/bouffalant,2024-02-24 15:05:22
0627,Rufflet,"Normal, Flying",350,70,83,50,37,50,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/rufflet.png,https://pokemondb.net/pokedex/rufflet,2024-02-24 15:05:22
0628,Braviary,"Normal, Flying",510,100,123,75,57,75,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/braviary.png,https://pokemondb.net/pokedex/braviary,2024-02-24 15:05:22
0628,Hisuian Braviary,"Psychic, Flying",510,110,83,70,112,70,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/braviary-hisuian.png,https://pokemondb.net/pokedex/braviary,2024-02-24 15:05:22
0629,Vullaby,"Dark, Flying",370,70,55,75,45,65,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/vullaby.png,https://pokemondb.net/pokedex/vullaby,2024-02-24 15:05:22
0630,Mandibuzz,"Dark, Flying",510,110,65,105,55,95,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/mandibuzz.png,https://pokemondb.net/pokedex/mandibuzz,2024-02-24 15:05:22
0631,Heatmor,Fire,484,85,97,66,105,66,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/heatmor.png,https://pokemondb.net/pokedex/heatmor,2024-02-24 15:05:22
0632,Durant,"Bug, Steel",484,58,109,112,48,48,109,https://img.pokemondb.net/sprites/scarlet-violet/icon/durant.png,https://pokemondb.net/pokedex/durant,2024-02-24 15:05:22
0633,Deino,"Dark, Dragon",300,52,65,50,45,50,38,https://img.pokemondb.net/sprites/scarlet-violet/icon/deino.png,https://pokemondb.net/pokedex/deino,2024-02-24 15:05:22
0634,Zweilous,"Dark, Dragon",420,72,85,70,65,70,58,https://img.pokemondb.net/sprites/scarlet-violet/icon/zweilous.png,https://pokemondb.net/pokedex/zweilous,2024-02-24 15:05:22
0635,Hydreigon,"Dark, Dragon",600,92,105,90,125,90,98,https://img.pokemondb.net/sprites/scarlet-violet/icon/hydreigon.png,https://pokemondb.net/pokedex/hydreigon,2024-02-24 15:05:22
0636,Larvesta,"Bug, Fire",360,55,85,55,50,55,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/larvesta.png,https://pokemondb.net/pokedex/larvesta,2024-02-24 15:05:22
0637,Volcarona,"Bug, Fire",550,85,60,65,135,105,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/volcarona.png,https://pokemondb.net/pokedex/volcarona,2024-02-24 15:05:22
0638,Cobalion,"Steel, Fighting",580,91,90,129,90,72,108,https://img.pokemondb.net/sprites/scarlet-violet/icon/cobalion.png,https://pokemondb.net/pokedex/cobalion,2024-02-24 15:05:22
0639,Terrakion,"Rock, Fighting",580,91,129,90,72,90,108,https://img.pokemondb.net/sprites/scarlet-violet/icon/terrakion.png,https://pokemondb.net/pokedex/terrakion,2024-02-24 15:05:22
0640,Virizion,"Grass, Fighting",580,91,90,72,90,129,108,https://img.pokemondb.net/sprites/scarlet-violet/icon/virizion.png,https://pokemondb.net/pokedex/virizion,2024-02-24 15:05:22
0641,Incarnate Forme,Flying,580,79,115,70,125,80,111,https://img.pokemondb.net/sprites/scarlet-violet/icon/tornadus-incarnate.png,https://pokemondb.net/pokedex/tornadus,2024-02-24 15:05:22
0641,Therian Forme,Flying,580,79,100,80,110,90,121,https://img.pokemondb.net/sprites/scarlet-violet/icon/tornadus-therian.png,https://pokemondb.net/pokedex/tornadus,2024-02-24 15:05:22
0642,Incarnate Forme,"Electric, Flying",580,79,115,70,125,80,111,https://img.pokemondb.net/sprites/scarlet-violet/icon/thundurus-incarnate.png,https://pokemondb.net/pokedex/thundurus,2024-02-24 15:05:22
